   Node |    u            v           fint-u       fint-v       S11          S22          S12          
    54  |   -1.203e-03    1.272e-02    7.816e-14    6.892e-13   -2.221e+02    6.468e+01    5.644e+02   
    55  |    1.546e-03    1.251e-02   -1.208e-13    5.187e-13   -2.807e+01    1.796e+02    5.166e+02   
    56  |    4.908e-03    1.217e-02    1.918e-13    2.700e-13    2.696e+02    3.796e+02    2.962e+02   
    57  |    9.405e-03    1.167e-02   -1.421e-13   -2.398e-13    8.971e+02    6.406e+02   -1.696e+02   
    58  |    1.543e-02    1.129e-02    3.837e-13    7.390e-13    2.240e+03    7.473e+02   -7.817e+02   
    59  |    2.246e-02    1.171e-02   -1.734e-12   -2.274e-13    4.349e+03    4.763e+02   -9.294e+02   
    60  |   -5.768e-03    9.354e-03    2.132e-14   -1.315e-13   -8.005e+02    4.089e+01    2.733e+02   
    61  |   -3.260e-03    9.046e-03   -1.590e-13    3.553e-14   -5.011e+02    1.139e+02    4.239e+02   
    62  |   -8.983e-04    8.728e-03    1.084e-13   -1.137e-13   -2.121e+02    2.246e+02    4.519e+02   
    63  |    1.646e-03    8.364e-03    2.380e-13    2.132e-13    1.261e+02    3.693e+02    3.490e+02   
    64  |    4.710e-03    7.960e-03    7.105e-15    6.146e-13    6.097e+02    5.247e+02    9.492e+01   
    65  |    8.579e-03    7.629e-03    4.263e-13    7.887e-13    1.385e+03    6.126e+02   -2.845e+02   
    66  |    1.327e-02    7.654e-03    1.080e-12   -1.723e-13    2.559e+03    5.214e+02   -6.159e+02   
    67  |    1.819e-02    8.389e-03    7.674e-13   -4.032e-13    3.970e+03    2.645e+02   -5.718e+02   
    68  |   -4.828e-03    6.099e-03    2.345e-13   -3.197e-14   -9.933e+02    5.800e+01    2.067e+02   
    69  |   -2.647e-03    5.722e-03   -5.684e-14   -1.990e-13   -5.730e+02    1.522e+02    3.171e+02   
    70  |   -5.905e-04    5.358e-03    1.243e-14   -2.061e-13   -1.667e+02    2.735e+02    3.193e+02   
    71  |    1.601e-03    5.005e-03    5.684e-14   -3.197e-14    2.976e+02    3.967e+02    2.115e+02   
